Index,Company,Product,Inches,Price_euros,SSD_Memory(GB),HDD_Memory(GB),Ram(GB),ScreenResolution(pixels),CPU_Type,CPU_Frequency(GHz),GPU_Type
115,Lenovo,ThinkPad Yoga,13.3,1399.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
116,HP,Probook 440,14.0,722.0,0,500,4,1366x768,Intel Core,1.6,Intel UHD
117,Dell,XPS 13,13.3,1629.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
118,HP,Spectre x360,13.3,1398.99,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
119,HP,Probook 440,14.0,1084.0,512,0,8,1920x1080,Intel Core,1.8,Intel UHD
120,Dell,Inspiron 7570,15.6,1130.33,256,1024.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,564.0,0,1024.0,4,1920x1080,Intel Core,2,Nvidia GeForce
122,Asus,VivoBook S15,15.6,1118.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
123,Acer,Spin 3,15.6,479.0,0,1024.0,6,1920x1080,Intel Core,2.4,Intel HD
124,MSI,GS63VR 7RG,15.6,2241.5,256,2048.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
125,Lenovo,IdeaPad 320-15IKBN,15.6,629.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
126,HP,Probook 470,17.3,1271.0,512,0,16,1920x1080,Intel Core,1.8,Nvidia GeForce
127,Acer,Aspire 3,15.6,451.0,256,0,4,1366x768,AMD A9-Series,3,AMD Radeon
128,HP,250 G6,15.6,259.0,0,500,4,1366x768,Intel Celeron,1.6,Intel HD
129,HP,Probook 440,14.0,812.0,0,1024.0,8,1920x1080,Intel Core,1.6,Intel UHD
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,14.0,277.99,64,0,4,1366x768,AMD E-Series,1.5,AMD Radeon
131,Dell,Inspiron 5770,17.3,1396.0,256,2048.0,16,1920x1080,Intel Core,1.8,AMD Radeon
132,HP,ProBook 470,17.3,928.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
133,Dell,Inspiron 5567,15.6,638.99,0,1024.0,8,1366x768,Intel Core,2.5,AMD Radeon
134,Dell,Inspiron 3567,15.6,449.0,0,1024.0,4,1920x1080,Intel Core,2,AMD Radeon
135,Acer,Swift 3,14.0,884.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
136,Acer,Aspire A515-51G-37JS,15.6,572.0,256,0,4,1920x1080,Intel Core,2.7,Nvidia GeForce
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),15.6,598.0,0,1024.0,8,1366x768,Intel Core,2.7,Intel HD
138,HP,Probook 440,14.0,988.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,15.6,252.36,0,1024.0,4,1366x768,Intel Celeron,1.1,Intel HD
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,938.0,128,1024.0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
141,Lenovo,IdeaPad 320-15IKBN,15.6,499.0,0,1024.0,4,1920x1080,Intel Core,2.5,Nvidia GeForce
142,HP,Envy 13-AD007nv,13.3,699.0,256,0,4,1920x1080,Intel Core,2.5,Intel HD
143,Acer,Aspire 5,17.3,655.0,0,1024.0,4,1920x1080,Intel Core,2.7,Nvidia GeForce
144,Lenovo,ThinkPad E480,14.0,1116.02,256,0,8,1920x1080,Intel Core,1.6,AMD Radeon
145,Lenovo,Legion Y520-15IKBN,15.6,869.0,256,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
146,Toshiba,Satellite Pro,15.6,602.0,0,500,4,1366x768,Intel Core,2.3,Intel HD
147,HP,255 G6,15.6,369.0,256,0,4,1366x768,AMD A6-Series,2.5,AMD Radeon
148,Asus,ZenBook UX430UA,14.0,1099.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
149,HP,EliteBook Folio,12.5,2014.0,512,0,8,3840x2160,Intel Core,1.2,Intel HD
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),15.6,344.0,0,1024.0,4,1920x1080,Intel Celeron,1.1,Intel HD
151,MSI,GE72MVR 7RG,17.3,2029.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
152,Acer,Aspire A315-51,15.6,447.0,0,1024.0,4,1366x768,Intel Core,2,Intel HD
153,Dell,Inspiron 5577,15.6,1249.26,512,0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
154,Dell,Inspiron 7567,15.6,899.0,0,0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),15.6,498.0,128,0,4,1366x768,Intel Core,2.5,Intel HD
156,MSI,GE73VR 7RE,17.3,1890.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
157,HP,EliteBook 840,14.0,1082.0,256,0,4,1920x1080,Intel Core,2.7,Intel HD
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,15.6,619.0,256,0,6,1920x1080,Intel Core,1.6,AMD Radeon
159,Lenovo,Yoga 520-14IKB,14.0,629.0,256,0,4,1920x1080,Intel Core,2.4,Intel HD
160,Asus,ZenBook Flip,13.3,1315.0,256,0,8,1920x1080,Intel Core,1.6,Intel HD
161,Dell,Inspiron 5579,15.6,1049.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
163,Toshiba,Satellite Pro,15.6,447.0,0,500,4,1366x768,Intel Core,2.2,Intel HD
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,15.6,403.0,0,1024.0,4,1366x768,AMD A9-Series,3,AMD Radeon
165,Acer,Aspire A517-51G,17.3,805.0,256,0,4,1920x1080,Intel Core,1.6,Nvidia GeForce
166,Dell,Inspiron 3576,15.6,728.0,256,0,8,1920x1080,Intel Core,1.6,AMD Radeon
167,Lenovo,Legion Y520-15IKBN,15.6,1079.0,256,0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
168,Acer,Aspire A315-31,15.6,348.0,0,1024.0,4,1366x768,Intel Celeron,1.1,Intel HD
169,MSI,GE63VR 7RE,15.6,1799.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
170,Acer,Aspire 3,15.6,363.51,0,1024.0,4,1366x768,Intel Pentium,1.1,Intel HD
171,Dell,Inspiron 5577,15.6,1060.49,128,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
172,Acer,Aspire A517-51G,17.3,854.0,256,0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
173,HP,ProBook 430,13.3,754.0,0,500,4,1920x1080,Intel Core,1.6,Intel UHD
174,Huawei,MateBook X,13.0,1349.0,256,0,8,2160x1440,Intel Core,2.5,Intel HD
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,17.3,699.0,0,2048.0,6,1920x1080,Intel Core,2.5,AMD Radeon
176,Lenovo,IdeaPad 320-15AST,15.6,309.0,0,500,4,1366x768,AMD A6-Series,2.9,AMD Radeon
177,Toshiba,Satellite Pro,15.6,489.0,0,500,4,1366x768,Intel Core,2.4,Intel HD
178,HP,ProBook 470,17.3,923.0,256,0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
179,Dell,Inspiron 3567,15.6,459.0,0,1024.0,8,1366x768,Intel Core,2.4,Intel HD
180,Acer,Aspire A315-51,15.6,449.0,128,0,4,1366x768,Intel Core,2,Intel HD
181,MSI,GT80S 6QF-074US,18.4,2799.0,512,1024.0,32,1920x1080,Intel Core,2.9,Nvidia GTX
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,15.6,813.0,128,1024.0,8,1920x1080,Intel Core,2.5,AMD R17M-M1-70
183,HP,Spectre x360,13.3,1499.0,256,0,8,3840x2160,Intel Core,1.6,Intel UHD
184,Dell,Inspiron 5570,15.6,1049.0,256,2048.0,16,1920x1080,Intel Core,1.8,AMD Radeon
185,Dell,XPS 13,13.3,1399.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
186,Lenovo,Yoga 920-13IKB,13.9,1849.0,512,0,16,3840x2160,Intel Core,1.8,Intel UHD
187,Toshiba,Satellite Pro,15.6,793.0,128,0,8,1366x768,Intel Core,2.5,Intel HD
188,Xiaomi,Mi Notebook,15.6,1199.0,256,0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
189,Dell,Inspiron 7773,17.3,1549.0,512,0,16,1920x1080,Intel Core,1.8,Nvidia GeForce
190,Dell,XPS 15,15.6,2397.0,512,0,16,3840x2160,Intel Core,2.8,Nvidia GeForce
191,Lenovo,Legion Y520-15IKBN,15.6,779.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
192,Acer,Swift 7,13.3,989.0,256,0,8,1920x1080,Intel Core,1.2,Intel HD
193,Dell,Inspiron 5770,17.3,1085.0,128,1024.0,8,1920x1080,Intel Core,1.8,AMD Radeon
194,Lenovo,Thinkpad Yoga,14.0,2824.0,1024.0,0,16,2560x1440,Intel Core,2.7,Intel HD
196,Xiaomi,Mi Notebook,13.3,999.9,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
197,Lenovo,IdeaPad 320-17IKBR,17.3,698.0,256,0,8,1600x900,Intel Core,1.6,Nvidia GeForce
198,Dell,Inspiron 5379,13.3,839.0,0,1024.0,8,1920x1080,Intel Core,1.8,Intel UHD
199,HP,ProBook 470,17.3,914.0,0,1024.0,8,1920x1080,Intel Core,1.6,Nvidia GeForce
200,Razer,Blade Pro,17.3,6099.0,1024.0,0,32,3840x2160,Intel Core,2.9,Nvidia GeForce
201,HP,ProBook 430,13.3,959.0,512,0,8,1920x1080,Intel Core,1.6,Intel UHD
202,HP,Omen 17-W295,17.3,1379.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
203,HP,Probook 470,17.3,1045.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
204,Dell,Inspiron 7577,15.6,1845.0,512,1024.0,16,3840x2160,Intel Core,2.8,Nvidia GeForce
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,493.0,128,0,4,1366x768,Intel Core,2.3,Intel HD
206,Acer,Aspire E5-576G,15.6,742.0,0,1024.0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
207,Lenovo,Legion Y720-15IKB,15.6,1749.0,512,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
208,Dell,Precision 7520,15.6,3055.0,256,1024.0,16,3840x2160,Intel Xeon,3,Nvidia Quadro
209,Lenovo,Legion Y520-15IKBN,15.6,1398.0,512,0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
210,Dell,Inspiron 3567,15.6,439.0,0,1024.0,6,1366x768,Intel Core,2.4,Intel HD
211,Dell,XPS 13,13.3,1949.0,256,0,8,3840x2160,Intel Core,1.8,Intel UHD
212,Dell,XPS 13,13.3,1449.0,256,0,8,1920x1080,Intel Core,1.8,Intel UHD
213,Lenovo,IdeaPad 320-15IKBN,15.6,597.0,256,0,8,1366x768,Intel Core,2.5,Intel HD
215,Acer,Aspire 7,15.6,779.0,0,1024.0,8,1920x1080,Intel Core,2.8,Nvidia GeForce
216,Asus,ROG GL703VD-GC028T,17.3,1407.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,349.0,0,500,4,1920x1080,Intel Core,2,Intel HD
218,Lenovo,IdeaPad 320-15IKBN,15.6,549.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
219,Huawei,MateBook X,13.0,1499.0,512,0,8,2160x1440,Intel Core,2.7,Intel HD
220,Dell,Inspiron 5370,13.3,931.88,256,0,8,1920x1080,Intel Core,1.8,AMD Radeon
221,Lenovo,IdeaPad 320-17IKB,17.3,589.0,0,1024.0,8,1600x900,Intel Core,2.5,Nvidia GeForce
222,HP,Probook 440,14.0,1031.0,256,0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
223,Dell,Latitude 5490,14.0,1149.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
224,Dell,Inspiron 5379,13.3,1279.0,512,0,16,1920x1080,Intel Core,1.8,Intel UHD
225,Dell,Inspiron 3576,15.6,677.35,256,0,8,1920x1080,Intel Core,1.6,AMD Radeon
226,Lenovo,Yoga 520-14IKB,14.0,899.0,256,0,8,1920x1080,Intel Core,1.6,Intel UHD
227,Toshiba,Portege Z30-C-16L,13.3,1363.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
228,HP,ProBook 450,15.6,794.0,0,1024.0,8,1920x1080,Intel Core,1.6,Intel UHD
229,Dell,Alienware 17,17.3,2456.34,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
230,Acer,Aspire E5-576G,15.6,832.0,256,0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
231,Dell,Inspiron 5567,15.6,859.01,0,1024.0,16,1920x1080,Intel Core,2.7,AMD Radeon
232,Asus,Vivobook X541UV-DM1217T,15.6,769.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,17.3,891.0,256,500,8,1920x1080,Intel Core,2.5,Nvidia GeForce
234,HP,ZBook 15u,15.6,1269.0,0,1024.0,8,1920x1080,Intel Core,2.7,AMD FirePro
235,Asus,Pro P2540UA-XO0198T,15.6,398.99,0,1024.0,4,1366x768,Intel Core,2.4,Intel HD
236,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),15.6,330.0,0,500,4,1366x768,AMD E-Series,1.5,AMD Radeon
237,Lenovo,Legion Y720-15IKB,15.6,1499.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
238,Dell,Vostro 5468,14.0,859.0,256,0,8,1920x1080,Intel Core,2.5,Intel HD
239,Acer,Aspire R7,13.3,689.0,256,0,8,1920x1080,Intel Core,2.3,Intel HD
240,Dell,Inspiron 5567,15.6,899.0,256,0,16,1920x1080,Intel Core,2.7,AMD Radeon
241,Acer,Aspire A315-51,15.6,390.0,0,1024.0,4,1366x768,Intel Core,2,Intel HD
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,15.6,575.0,128,1024.0,4,1920x1080,AMD A10-Series,2.5,AMD Radeon
243,Asus,ROG G703VI-E5062T,17.3,3890.0,512,1024.0,32,1920x1080,Intel Core,2.9,Nvidia GeForce
244,Acer,Nitro AN515-51,15.6,846.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
245,Lenovo,IdeaPad 320-15ISK,15.6,589.0,128,0,8,1366x768,Intel Core,2,Intel HD
246,Asus,VivoBook Pro,17.3,1145.0,128,1024.0,8,1920x1080,Intel Core,1.8,Nvidia GeForce
247,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,17.3,889.0,128,1024.0,8,1920x1080,Intel Core,2.7,Nvidia GeForce
248,Dell,Inspiron 5577,15.6,879.0,256,0,8,1920x1080,Intel Core,2.5,Nvidia GeForce
249,Lenovo,Yoga 910-13IKB,13.9,1079.0,256,0,8,1920x1080,Intel Core,2.7,Intel HD
250,Dell,Inspiron 5570,15.6,985.0,128,2048.0,8,1920x1080,Intel Core,1.8,AMD Radeon
251,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),15.6,559.0,0,1024.0,8,1366x768,Intel Core,2.5,Intel HD
252,Asus,Rog G701VIK-BA060T,17.3,2999.0,256,0,16,1920x1080,Intel Core,2.9,Nvidia GeForce
253,HP,ProBook 430,13.3,675.0,0,500,4,1920x1080,Intel Core,1.6,Intel UHD
254,Apple,MacBook Pro,13.3,2040.0,512,0,8,2560x1600,Intel Core,3.1,Intel Iris
255,Dell,Inspiron 5579,15.6,819.0,0,1024.0,8,1920x1080,Intel Core,1.8,Intel UHD
256,Asus,ROG G752VSK-GC493T,17.3,1799.0,256,1024.0,16,1920x1080,Intel Core,2.8,Nvidia GeForce
